iter	Logloss
0	0.5929088358
1	0.5135219086
2	0.4589579801
3	0.4181498927
4	0.3891575082
5	0.3624024236
6	0.3438979859
7	0.3294632046
8	0.3170990646
9	0.3076533504
10	0.2999114624
11	0.2924071658
12	0.2875563539
13	0.2842146159
14	0.2816517323
15	0.2790764998
16	0.276847918
17	0.274650382
18	0.2728158475
19	0.2714427929
20	0.2705267611
21	0.2695377303
22	0.2689939553
23	0.2684631725
24	0.2677540555
25	0.2671904218
26	0.2665128541
27	0.2659885722
28	0.2655857937
29	0.2654059769
30	0.2650084702
31	0.2647820549
32	0.2645157749
33	0.2643682608
34	0.2638795562
35	0.2635768635
36	0.2634058748
37	0.263214274
38	0.2630584782
39	0.2628410177
40	0.2626835398
41	0.2624592541
42	0.2623570051
43	0.2621746409
44	0.2619524252
45	0.2617861955
46	0.2617179929
47	0.2616010956
48	0.2614736844
49	0.2613752453
50	0.261304941
51	0.2611963572
52	0.2611071154
53	0.2610264016
54	0.2609156434
55	0.2608010455
56	0.2607292437
57	0.2606001355
58	0.2605229406
59	0.2604599427
60	0.2603621395
61	0.2602979891
62	0.2602374397
63	0.2601736157
64	0.2600675905
65	0.2600014988
66	0.2599499566
67	0.2598802956
68	0.2598368711
69	0.2597827796
70	0.2597126842
71	0.259588445
72	0.2594661789
73	0.2593892041
74	0.2592867649
75	0.2592240803
76	0.2591817895
77	0.259137164
78	0.2590716635
79	0.2589930737
80	0.258947264
81	0.2588936351
82	0.2588367072
83	0.258780391
84	0.2587350606
85	0.2587028735
86	0.2586423652
87	0.2585698361
88	0.2584725625
89	0.2584278698
90	0.2583890533
91	0.2583452539
92	0.2583161643
93	0.2582633111
94	0.2581958078
95	0.2581621773
96	0.2581000596
97	0.258075992
98	0.2579888408
99	0.2579602305
100	0.2579327484
101	0.2578940139
102	0.2578603536
103	0.2578191668
104	0.2577533269
105	0.2577209533
106	0.2576619145
107	0.2576226783
108	0.2575848203
109	0.2575344212
110	0.2574847457
111	0.2574474359
112	0.2573881174
113	0.257363343
114	0.2573217441
115	0.2572974695
116	0.2572647305
117	0.257242207
118	0.2571915991
119	0.2571537634
120	0.2571131622
121	0.2570690402
122	0.2570175147
123	0.2569788362
124	0.2569359972
125	0.2569207092
126	0.2568686225
127	0.2568291887
128	0.2568001811
129	0.256755261
130	0.2567353203
131	0.2566933316
132	0.2566574652
133	0.2566029505
134	0.2565552722
135	0.2565063501
136	0.2564752036
137	0.2564398705
138	0.2564000544
139	0.2563714627
140	0.2563276857
141	0.2562999351
142	0.256266948
143	0.2562507706
144	0.2562080155
145	0.2561588397
146	0.2561098952
147	0.2560747934
148	0.2560324225
149	0.2560061115
150	0.2559739021
151	0.2559440199
152	0.2559136305
153	0.2558666162
154	0.2558297036
155	0.2557827358
156	0.2557477646
157	0.2557210955
158	0.255678857
159	0.2556508472
160	0.2556041684
161	0.2555800486
162	0.2555446914
163	0.2555232681
164	0.2554865588
165	0.2554489544
166	0.2554004015
167	0.2553637705
168	0.2553312926
169	0.2552969833
170	0.2552634386
171	0.2552360218
172	0.255189054
173	0.2551008827
174	0.2550645371
175	0.2550399305
176	0.2550006701
177	0.2549682966
178	0.2549299593
179	0.2548863128
180	0.25484096
181	0.2548052484
182	0.2548007261
183	0.2547727219
184	0.2547320666
185	0.2546917861
186	0.2546477872
187	0.2546083478
188	0.254562911
189	0.2545303249
190	0.2544898132
191	0.2544687984
192	0.2544470879
193	0.2544195462
194	0.2543883213
195	0.2543514759
196	0.2543233225
197	0.2542646995
198	0.2542291165
199	0.2541928324
200	0.25415716
201	0.2541223994
202	0.2540913275
203	0.254066197
204	0.2540404884
205	0.2540198596
206	0.2539851046
207	0.2539366748
208	0.2539151807
209	0.253893819
210	0.2538648171
211	0.2538364399
212	0.2538091424
213	0.2537758756
214	0.2537357107
215	0.2537095713
216	0.2536737739
217	0.2536577941
218	0.2536419001
219	0.2536143323
220	0.2535901584
221	0.2535502099
222	0.2535134129
223	0.2534832921
224	0.2534558566
225	0.2534237367
226	0.2533773023
227	0.2533558063
228	0.2533189571
229	0.2532696005
230	0.2532295084
231	0.2532079304
232	0.2531725712
233	0.2531324045
234	0.2530905166
235	0.2530651846
236	0.253032757
237	0.253002832
238	0.2529728212
239	0.2529579454
240	0.2529181516
241	0.252881668
242	0.2528585813
243	0.2528399758
244	0.2528200706
245	0.2528111865
246	0.2527865427
247	0.2527490949
248	0.2527353622
249	0.2527003145
250	0.2526644276
251	0.2526345902
252	0.2526187298
253	0.2525892896
254	0.252557442
255	0.2525343236
256	0.2525336783
257	0.2524946734
258	0.2524586541
259	0.2524296876
260	0.252398888
261	0.2523806797
262	0.252345949
263	0.2523090905
264	0.2522816924
265	0.2522568509
266	0.2522245967
267	0.2521993412
268	0.2521900674
269	0.2521495874
270	0.2521158804
271	0.2520976256
272	0.2520744531
273	0.2520452404
274	0.2520221128
275	0.2519821605
276	0.2519597247
277	0.2519300644
278	0.2519067726
279	0.2518721781
280	0.2518450596
281	0.2518057507
282	0.2517862651
283	0.2517627924
284	0.2517382381
285	0.2517167346
286	0.2516823676
287	0.251641578
288	0.251608604
289	0.2515888796
290	0.2515595644
291	0.2515160111
292	0.2514886241
293	0.251458052
294	0.2514408993
295	0.251406672
296	0.2513838278
297	0.2513525433
298	0.25132872
299	0.251301527
